#{"t_start": 1763985540.5008078, "env_id": "None"}
r,l,t
0.547447,24,0.128115
1.241019,24,0.226437
1.22366,24,0.337725
-1.97108,24,0.436396
-0.579548,24,0.51638
-0.294829,24,0.61639
0.046592,24,0.714088
-1.67067,24,0.806465
-0.691156,24,0.896341
-1.367039,24,0.995404
0.413066,24,1.093585
0.3997,24,1.186517
1.587782,24,1.286776
2.125471,24,1.387065
1.994445,24,1.474466
-0.325406,24,1.566443
-0.232967,24,1.656351
2.00698,24,1.756188
0.76369,24,1.846489
2.082452,24,1.938736
0.415084,24,2.050389
0.779977,24,2.124521
1.606136,24,2.224523
1.820565,24,2.31465
-1.141368,24,2.406495
1.094237,24,2.526981
1.107761,24,2.606457
1.284356,24,2.716387
-1.089364,24,2.793534
0.763914,24,2.876378
1.947413,24,2.976357
2.062363,24,3.084448
-0.147154,24,3.176404
0.588285,24,3.264479
2.65661,24,3.356423
0.670738,24,3.461335
-1.341051,24,3.555407
0.00152,24,3.64932
-0.201507,24,3.764225
-0.931916,24,3.881666
1.171252,24,3.984308
-1.2104,24,4.066357
1.838389,24,4.167253
1.226733,24,4.26779
-0.092128,24,4.367439
-0.863496,24,4.466476
0.18322,24,4.556496
-1.786708,24,4.658107
2.305128,24,4.746528
-1.269134,24,4.847232
-0.652468,24,4.94738
-0.229458,24,5.046474
1.17101,24,5.155258
-1.512166,24,5.246476
-0.517525,24,5.345479
1.313367,24,5.436652
0.499579,24,5.526522
-1.76328,24,5.629788
-1.116788,24,5.856379
-1.177603,24,5.966912
2.101067,24,6.075382
0.043948,24,6.515036
-0.052689,24,6.6664
0.935698,24,6.788379
-0.513884,24,6.896426
0.153124,24,7.0064
0.851607,24,7.086783
-1.365459,24,7.234511
0.493508,24,7.360437
-1.134822,24,7.484541
0.602219,24,7.606471
-1.708336,24,7.708998
0.506703,24,7.832912
2.425957,24,7.914201
0.888826,24,7.99451
-0.904423,24,8.090661
1.719963,24,8.178432
0.369838,24,8.275347
-1.03835,24,8.366392
2.0781,24,8.450664
-0.236108,24,8.546554
1.419075,24,8.637378
1.195421,24,8.744812
0.119547,24,8.878998
0.817234,24,8.966383
2.420155,24,9.076993
1.606272,24,9.165545
-1.478859,24,9.26843
1.555839,24,9.364908
0.533521,24,9.446569
0.914324,24,9.536422
1.601596,24,9.616098
-0.457079,24,9.7065
0.055682,24,9.806408
0.12363,24,9.886739
1.594091,24,9.996362
1.496681,24,10.082572
0.906385,24,10.176436
-1.561318,24,10.276441
3.238881,24,10.356378
0.01931,24,10.471509
-0.0816,24,10.558658
1.557172,24,10.666356
-0.462105,24,10.756493
1.251158,24,10.82972
0.973858,24,10.927419
1.094141,24,11.016775
1.142743,24,11.117128
-2.450139,24,11.216458
1.40793,24,11.307068
0.5355,24,11.422905
3.225835,24,11.524553
-1.446537,24,11.627342
0.227095,24,11.715714
1.440621,24,11.816441
-0.740503,24,11.916417
1.915098,24,12.006099
1.563991,24,12.106764
2.898095,24,12.216663
-0.214312,24,12.296435
2.57519,24,12.386553
-1.171865,24,12.487411
2.017656,24,12.588777
1.602056,24,12.686556
0.223943,24,12.776449
2.262523,24,12.886443
-1.46718,24,12.975386
0.620807,24,13.086527
0.505803,24,13.176355
-0.549031,24,13.266496
1.945671,24,13.370131
1.844478,24,13.45972
-0.646235,24,13.556348
1.67427,24,13.646422
-1.076886,24,13.746763
-0.246557,24,13.846413
0.516208,24,13.936563
0.603179,24,14.037852
0.794695,24,14.137279
-0.481543,24,14.226769
-0.060103,24,14.336668
1.831355,24,14.420161
-1.371392,24,14.526465
0.813312,24,14.616129
-1.463977,24,14.701991
2.200172,24,14.799201
2.485431,24,14.887379
1.157929,24,14.994671
1.610697,24,15.090551
-1.419801,24,15.176401
0.269759,24,15.276415
1.560795,24,15.376383
0.597398,24,15.478053
2.256754,24,15.574451
1.791801,24,15.656437
2.985659,24,15.760828
-0.489232,24,15.856474
1.703363,24,15.96271
0.438746,24,16.055387
-2.339019,24,16.156977
0.66556,24,16.258562
-0.149446,24,16.346391
2.013755,24,16.455299
1.292129,24,16.54546
0.43042,24,16.61685
-0.877714,24,16.716486
-1.56355,24,16.806481
1.377693,24,16.896407
1.38907,24,16.994374
-0.801422,24,17.076435
1.000469,24,17.186461
0.945217,24,17.285146
1.145943,24,17.406986
0.825764,24,17.506468
0.660557,24,17.596449
-0.309908,24,17.697098
1.123662,24,17.77645
2.622728,24,17.886421
-0.012989,24,17.975487
2.25349,24,18.066381
1.177939,24,18.175363
1.196879,24,18.266516
1.593158,24,18.37709
1.811595,24,18.466515
1.149108,24,18.556391
1.066247,24,18.656377
1.018673,24,18.734483
-0.750074,24,18.838472
0.544267,24,18.936802
1.433077,24,19.046349
0.472175,24,19.157154
-0.30269,24,19.246853
1.294482,24,19.356483
0.252432,24,19.436444
0.750619,24,19.526452
1.091988,24,19.6194
0.121855,24,19.706504
2.058884,24,19.827498
0.101468,24,19.901417
2.701462,24,19.974526
2.119728,24,20.048964
-0.431313,24,20.118381
