#{"t_start": 1763981970.4256828, "env_id": "None"}
r,l,t
-0.228351,24,6.665061
-0.178893,24,6.691993
0.018536,24,6.695036
-0.804213,24,6.71287
0.88102,24,6.726711
-0.567784,24,6.742988
0.00883,24,6.750971
3.016304,24,6.759689
-0.206605,24,6.77831
0.560147,24,6.798879
1.336849,24,6.815017
1.640786,24,6.843248
2.312317,24,6.865245
0.789065,24,6.88852
1.712914,24,6.910105
1.659533,24,6.929338
1.238885,24,6.952852
-0.597893,24,6.977088
2.176115,24,7.009812
-0.108596,24,7.026877
1.556139,24,7.044014
2.153152,24,7.066082
-0.861584,24,7.083054
1.346348,24,7.102549
1.959033,24,7.125151
0.654547,24,7.142644
1.273654,24,7.160749
0.394578,24,7.183152
0.142326,24,7.204575
0.447139,24,7.219921
-1.473054,24,7.270625
1.428466,24,7.294161
0.168928,24,7.312629
-1.319721,24,7.329696
1.275106,24,7.354159
0.923297,24,7.373311
0.120103,24,7.403546
-0.125269,24,7.423911
0.715754,24,7.443007
0.212896,24,7.462145
-1.549985,24,7.483086
0.158075,24,7.500311
0.614245,24,7.518429
2.316328,24,7.534822
2.175068,24,7.554203
-0.518387,24,7.570531
1.745693,24,7.58689
0.732253,24,7.605049
1.181366,24,7.621916
1.959309,24,7.639549
1.629857,24,7.649815
0.490108,24,7.659722
0.74896,24,7.674055
0.559533,24,7.687084
-1.154422,24,7.700006
-1.531055,24,7.717483
0.467235,24,7.735242
2.555318,24,7.74825
0.549856,24,7.759408
0.892574,24,7.772826
-1.587834,24,7.791706
1.757318,24,7.809067
-0.182167,24,7.818184
1.385221,24,7.832768
0.874866,24,7.844698
-0.361725,24,7.859127
-2.017075,24,7.874057
-1.230868,24,7.887272
1.588789,24,7.900938
1.677843,24,7.909741
0.686918,24,7.918218
-1.054818,24,7.926018
2.492405,24,7.94122
1.987329,24,7.945106
0.228742,24,7.957971
2.955892,24,7.965038
-0.25557,24,7.976006
0.038004,24,7.985005
-0.562819,24,7.992841
1.382178,24,7.994998
-0.724159,24,8.008951
1.352472,24,8.02633
0.684118,24,8.034004
0.829167,24,8.041103
1.747519,24,8.052174
1.030512,24,8.059653
0.419053,24,8.067217
1.281338,24,8.074994
1.693425,24,8.08501
-0.782586,24,8.103169
0.745209,24,8.121644
0.912595,24,8.135031
0.709146,24,8.153982
1.587391,24,8.165015
1.615807,24,8.17708
0.971948,24,8.186021
-0.826143,24,8.205021
-0.449873,24,8.216217
1.845636,24,8.224009
0.174787,24,8.23502
1.06585,24,8.245091
-1.054714,24,8.245091
2.49226,24,8.264018
-0.957178,24,8.265017
0.925137,24,8.282918
