#{"t_start": 1763982340.5143952, "env_id": "None"}
r,l,t
0.345575,24,0.076672
-2.011803,24,0.116622
-0.348073,24,0.166596
-0.119829,24,0.235629
2.32369,24,0.276574
0.991141,24,0.624635
0.337349,24,0.655592
0.919064,24,0.696178
1.542728,24,0.724816
-1.179031,24,0.75659
-0.229863,24,1.166599
3.036456,24,1.206637
1.008509,24,1.248129
1.938353,24,1.285604
2.553882,24,1.320573
0.565615,24,1.35573
-0.734407,24,1.682646
0.156669,24,1.716589
2.69713,24,1.753129
2.107362,24,1.787239
-1.330857,24,1.820677
1.012853,24,2.126797
1.880298,24,2.15786
-1.553441,24,2.203033
1.407074,24,2.24158
1.398011,24,2.276627
-2.056456,24,2.596606
-0.591661,24,2.635682
0.229409,24,2.667143
1.400935,24,2.706256
2.653041,24,2.735683
-0.880843,24,2.775585
-0.099091,24,3.09496
1.674447,24,3.137263
0.563069,24,3.176622
0.81035,24,3.233018
1.846624,24,3.283631
2.772762,24,3.556592
1.92476,24,3.594411
-0.016804,24,3.625523
1.193408,24,3.6566
2.100259,24,3.696589
2.409517,24,4.025363
1.329,24,4.066581
-1.039271,24,4.106609
0.084417,24,4.146639
-1.368117,24,4.195596
1.198418,24,4.22659
-0.368986,24,4.526587
0.72538,24,4.55746
1.688871,24,4.596965
-0.556735,24,4.631737
-0.576392,24,4.678545
1.119418,24,4.976858
1.212509,24,5.009636
1.893774,24,5.041698
-0.171052,24,5.070319
0.740036,24,5.106618
-0.95262,24,5.449875
-0.013594,24,5.495901
-0.181062,24,5.53484
0.364195,24,5.570506
0.692507,24,5.604752
2.588351,24,5.636724
1.079838,24,5.955454
-0.266058,24,5.997387
1.34083,24,6.037829
-1.70759,24,6.070508
-1.420242,24,6.096584
1.004445,24,6.406749
2.780224,24,6.436904
1.050011,24,6.479565
-0.426348,24,6.519508
0.853203,24,6.556605
1.612816,24,6.856631
1.338899,24,6.909648
-0.461037,24,6.955779
2.759593,24,7.006605
2.374211,24,7.046634
2.375906,24,7.076632
0.139762,24,7.396599
-1.089663,24,7.42984
0.721792,24,7.476761
2.808992,24,7.51667
0.48749,24,7.557712
0.706962,24,7.856916
1.203738,24,7.896628
0.345667,24,7.926594
1.890077,24,7.956599
-1.094603,24,8.009844
-0.904534,24,8.302573
1.616963,24,8.326596
0.978351,24,8.356606
-0.1221,24,8.396624
2.300143,24,8.426608
1.19459,24,8.469489
1.165096,24,8.7756
-0.844711,24,8.814829
0.678135,24,8.846658
0.019672,24,8.89478
-0.042073,24,8.92661
0.318764,24,9.254791
1.932337,24,9.285741
1.230982,24,9.320093
-0.329965,24,9.354729
1.5388,24,9.391513
0.443792,24,9.696582
-0.369969,24,9.733743
0.79258,24,9.776734
1.897719,24,9.807676
1.530228,24,9.857566
1.052129,24,9.895581
-1.001304,24,10.185637
0.265793,24,10.21999
2.686268,24,10.256593
2.935702,24,10.292118
0.814952,24,10.316607
-0.024429,24,10.655609
1.782179,24,10.694773
0.225563,24,10.735711
-0.903277,24,10.770017
-1.283829,24,10.797597
-1.104706,24,11.096588
3.054127,24,11.126616
1.465837,24,11.166671
0.670931,24,11.196606
2.213336,24,11.239482
0.354063,24,11.279886
0.557478,24,11.570068
1.793989,24,11.606628
1.772076,24,11.636271
1.329397,24,11.67662
1.263725,24,11.708964
-0.853805,24,12.036641
1.456233,24,12.075599
1.721472,24,12.10861
0.635984,24,12.146592
0.931853,24,12.185633
1.731438,24,12.498489
-1.330831,24,12.526618
0.972921,24,12.56661
2.165333,24,12.610291
0.90688,24,12.654322
0.333077,24,12.686709
0.13971,24,12.996566
0.259651,24,13.035836
1.376187,24,13.074625
2.525589,24,13.109507
0.974066,24,13.170184
-0.394596,24,13.553613
2.175687,24,13.598609
0.720348,24,13.637162
-0.768071,24,13.677704
-1.33997,24,13.715383
1.324118,24,14.069611
1.794665,24,14.149275
-0.226871,24,14.200157
2.303388,24,14.242963
0.612158,24,14.282495
-1.768856,24,14.322107
-0.386124,24,14.691777
0.905282,24,14.731706
0.562324,24,14.776671
1.779481,24,14.815399
2.405175,24,14.860247
-0.926675,24,15.216094
3.421523,24,15.258794
1.251572,24,15.308043
2.648815,24,15.350219
1.793213,24,15.394142
2.428443,24,15.767485
2.235439,24,15.80629
1.312798,24,15.854383
1.478368,24,15.892206
1.355758,24,15.935532
1.359626,24,15.974725
-0.844883,24,16.337036
2.007471,24,16.376153
2.702969,24,16.41983
1.280073,24,16.457203
3.082362,24,16.496185
-0.325627,24,16.860346
2.326107,24,16.899499
2.654245,24,16.938137
-0.251827,24,16.974689
1.120386,24,17.021803
0.054099,24,17.487507
-0.687877,24,17.541538
-0.16807,24,17.594644
0.844156,24,17.65423
1.616268,24,17.704374
0.601509,24,17.758259
1.510278,24,18.104788
1.539381,24,18.14765
1.00202,24,18.189413
2.240708,24,18.230212
0.750781,24,18.280842
1.399756,24,18.629652
0.113215,24,18.672156
0.985046,24,18.71265
1.561593,24,18.746257
0.947773,24,18.786237
1.124599,24,19.133194
2.273975,24,19.174637
1.147222,24,19.213736
1.589031,24,19.252296
3.114489,24,19.289096
1.955813,24,19.326693
0.718854,24,19.69477
2.845106,24,19.734402
-0.829368,24,19.774477
0.840168,24,19.813691
3.318528,24,19.845637
1.964966,24,20.194432
1.787547,24,20.246018
-0.281226,24,20.29168
3.292412,24,20.331951
1.818584,24,20.370807
1.464002,24,20.718733
2.255588,24,20.762019
1.254555,24,20.809509
1.509425,24,20.868674
1.028432,24,20.911037
0.059898,24,20.95206
1.472104,24,21.344743
0.373655,24,21.395627
-0.621157,24,21.443158
2.415722,24,21.490363
2.21635,24,21.537988
-0.866199,24,21.919181
3.866341,24,21.965613
3.401327,24,22.008983
